zipcode,congress,congressperson,rep,representative,actual_rep_name
29502,,{'Rice'},,,['Clyburn']
29810,,{'Thompson'},,,['Clyburn' 'Wilson']
29843,,,{'Collins'},,['Clyburn' 'Wilson']
29918,,,,,['Clyburn']
29847,,,,,['Wilson' 'Duncan']
29037,,,,,['Duncan']
29624,,,"{'Cox', 'Craig'}",,['Duncan']
29640,,,,,['Duncan']
29659,,,,,['Duncan']
29684,,,,,['Duncan']
29079,,,,,['Rice']
29519,,,,,['Rice']
29541,,,,,['Rice']
29567,,{'Sensenbrenner'},,,['Rice']
29568,,,,,['Rice']
29365,,,,,['Timmons']
29687,,,{'Hill'},,['Timmons']
29423,,,,,['Cunningham']
29903,,,,,['Cunningham']
29904,,,,,['Cunningham']
37307,,,{'Johnson'},,['Fleischmann']
37317,,,,,['Fleischmann']
37405,,,,,['Fleischmann' 'DesJarlais']
37412,,,{'Dean'},,['Fleischmann']
37807,,,,,['Fleischmann' 'Burchett']
37847,,,,,['Fleischmann' 'Burchett']
37026,,{'Brindisi'},,,['Rose']
37151,,,,,['Rose']
38503,,,,,['Rose']
38544,,,,,['Rose']
38549,,{'Kelly'},"{'Kelly', 'Scott'}",,['Rose']
38564,,,,,['Rose']
37014,,{'Cooper'},,,['Green' 'DesJarlais']
37064,,,,,['Green' 'Cooper' 'DesJarlais']
37175,{'Stewart'},,,,['Green']
37181,,,,,['Green' 'Cooper']
38044,,,,,['Green']
38183,,{'Kustoff'},,,['Green']
37214,,,,,['Cooper']
37306,,,,,['DesJarlais']
37334,,,,,['DesJarlais']
37398,,,,,['DesJarlais']
38017,,,,,['Kustoff']
38135,,"{'Scott', 'DesJarlais'}",,,['Kustoff' 'Cohen']
38238,,,,,['Kustoff']
38258,,,,,['Kustoff']
38261,,,{'Harris'},,['Kustoff']
38330,,,{'Curtis'},{'Curtis'},['Kustoff']
37645,,{'Griffith'},,,['Roe']
37863,,,,,['Roe']
37879,,,,,['Roe' 'Burchett']
38054,,,,,['Cohen']
38109,,,,,['Cohen']
73301,,{'Williams'},,,['Doggett']
78209,,{'Cuellar'},,,['Doggett' 'Roy' 'Castro']
78210,,{'Castro'},,,['Doggett' 'Hurd']
78214,,,,,['Doggett' 'Hurd' 'Castro']
78218,,,{'Castro'},,['Doggett' 'Roy' 'Cuellar']
78228,,,,,['Doggett' 'Castro']
78719,,,{'Guest'},,['Doggett']
78741,,,,,['Doggett' 'Roy']
78744,,,,,['Doggett' 'Roy']
78748,,{'Williams'},,,['Doggett' 'Roy']
78754,,,,,['Doggett' 'Flores' 'McCaul']
76311,,,,,['Thornberry']
76379,,,,,['Thornberry']
76460,,,,,['Thornberry' 'Arrington']
76483,,,,,['Thornberry' 'Arrington']
79010,,,,,['Thornberry']
79011,,,,,['Thornberry']
79220,,,,,['Thornberry']
79241,,{'Arrington'},,,['Thornberry']
79247,,{'Cook'},,,['Thornberry']
75016,,,,,['Marchant']
75056,,,,,['Marchant' 'Burgess']
75209,,,,,['Marchant' 'Allred' 'Johnson']
75025,,,,,['Taylor']
75078,{'Cook'},{'Johnson'},,,['Taylor' 'Burgess' 'Ratcliffe']
75121,,,,,['Taylor']
75442,,,,,['Taylor' 'Ratcliffe']
76247,,,,,['Burgess' 'Granger']
75434,,,,,['Ratcliffe']
75444,"{'Pallone', 'Tonko'}",,,,['Ratcliffe']
75456,{'Gohmert'},{'Smith'},{'Cole'},{'Cole'},['Ratcliffe']
75477,,,,,['Ratcliffe']
75497,,,,,['Ratcliffe' 'Gooden']
75560,,,,{'Cook'},['Ratcliffe']
75562,,,,,['Ratcliffe']
75604,,,,,['Ratcliffe' 'Gohmert']
75221,,,,,['Veasey']
76011,,{'Burgess'},,,['Veasey' 'Wright']
76115,,,,,['Veasey' 'Granger']
75047,,{'Johnson'},,,['Allred']
75204,,,,,['Allred' 'Johnson']
75226,,,,,['Allred' 'Johnson']
75127,,{'Ratcliffe'},,,['Gooden']
75159,,,{'Meadows'},,['Gooden' 'Johnson']
75161,,,,,['Gooden']
75357,,,,,['Gooden']
75764,,,,,['Gooden']
75119,,{'Johnson'},,,['Wright']
75859,,,,,['Wright' 'Flores']
76065,,,,,['Wright' 'Johnson']
76648,,,,{'Hill'},['Wright' 'Flores' 'Williams']
75339,,,,,['Johnson']
75376,,,,,['Johnson']
75681,,,,,['Gohmert']
75704,,,,,['Gohmert']
75712,,,,,['Gohmert']
75901,,,,,['Gohmert']
75965,{'Bishop'},,,,['Gohmert']
75969,,,,,['Gohmert']
75840,,,,,['Flores']
75848,,,,,['Flores']
75855,,,,,['Flores']
76643,,,,,['Flores']
76685,,{'Palmer'},,,['Flores']
76716,{'Johnson'},{'Johnson'},,,['Flores']
77868,,,,,['Flores' 'Brady' 'McCaul']
75850,,{'Upton'},,,['Brady']
77340,,,,{'Walker'},['Brady']
77388,,,,,['Brady' 'Crenshaw']
77393,,{'McCaul'},,,['Brady']
77872,,{'Flores'},,,['Brady']
75928,,{'Cuellar'},,,['Babin']
75979,,,,,['Babin']
77034,,,,,['Babin' 'Garcia' 'Olson']
77062,,,,,['Babin' 'Olson']
77508,"{'Butterfield', 'Cook'}",,,,['Babin']
77521,,{'Garcia'},,,['Babin']
77616,,"{'Clay', 'Smith'}",,,['Babin']
77660,,,,,['Babin']
76008,,,,,['Granger']
76126,,,,{'Craig'},['Granger']
76132,,,,{'Veasey'},['Granger']
76550,,,,,['Williams']
76558,,,,,['Williams']
76645,,,{'Harris'},,['Williams']
76463,,,,,['Conaway']
76855,,,,,['Conaway']
76888,,,,,['Conaway']
78672,,,,,['Conaway']
79541,,,,,['Conaway' 'Arrington']
79760,,,,,['Conaway']
79314,,,,,['Arrington']
79322,,,,,['Arrington']
79339,,,,,['Arrington']
79371,,,,,['Arrington']
79539,,,,{'DeSaulnier'},['Arrington']
77978,,,,,['Cloud']
77990,,,,,['Cloud']
78335,,{'Gonzalez'},,,['Cloud']
78402,,,,,['Cloud']
78403,{'Vela'},,,,['Cloud']
78414,,,,,['Cloud']
78465,,,,,['Cloud']
78941,,{'Doggett'},{'Cuellar'},,['Cloud' 'McCaul']
78957,,{'Williams'},,,['Cloud' 'McCaul']
76501,,,,,['Carter']
76547,{'Shimkus'},{'Shimkus'},,,['Carter']
78651,{'Cook'},{'Doggett'},,,['Carter']
78231,,,,{'Larson'},['Roy' 'Hurd' 'Castro']
78261,,{'Hurd'},,{'Larson'},['Roy']
78715,,{'Williams'},,,['Roy']
78016,,{'Doggett'},,,['Hurd']
79777,,{'Lynch'},,,['Hurd']
79848,,,,,['Hurd']
77021,,{'Garcia'},,,['Jackson Lee' 'Green']
77023,,,,,['Jackson Lee' 'Garcia']
77026,,{'Lee'},,,['Jackson Lee' 'Garcia']
